Feature,Importance_Mean,Importance_Std
NumComplaints,0.07620550218544737,0.008550093540069652
HighComplaintFlag,0.04752666557589064,0.006434895220994118
Contract_One year,0.027508395079042215,0.0056695079271967845
Contract_Two year,0.02361666238147543,0.0036087378876198113
Tenure,0.005316363976345658,0.002618375616300539
InternetService_Fiber optic,0.0047894802452686696,0.002567008493209195
IsLongTermCustomer,0.004239222744236374,0.003076104065259138
Partner,0.002907502201029925,0.003075166572165303
SeniorCitizen,0.002187979649237515,0.001115700165332492
OnlineBackup_Yes,0.0009053440229373451,0.0005638410971714082
PaymentMethod_Electronic check,0.0005249359169139823,0.0005802793059751566
ChargesPerMonth,0.00044273815923759525,0.0013647988721760549
TechSupport_No internet service,0.0004345573397532609,0.0005523516051743573
TechSupport_Yes,0.00023101075972538078,0.0005169993424458229
OnlineBackup_No internet service,0.00021737606058469527,0.00042594220078169114
